wikidata,organisation,government-organisation,planning-authority-legislation
Q6670544,development-corporation:Q6670544,,uksi/2012/2167,uksi/2014/857
Q20648596,development-corporation:Q20648596,,uksi/2015/442
Q7986087,development-corporation:Q7986087,,uksi/2011/560,
Q72456968,development-corporation:Q72456968,,uksi/2006/616,uksi/2014/857
Q72463795,development-corporation:Q72463795,PB1154,uksi/2015/748,
Q6670837,development-corporation:Q6670837,PB374,uksi/2011/549,uksi/2013/110
Q7986087,development-corporation:Q7986087,PB501,uksi/2011/560,uksi/2014/857
Q7799380,development-corporation:Q7799380,OT840,
Q7860503,development-corporation:Q7860503,,uksi/1987/1342
Q4916714,development-corporation:Q4916714,,uksi/1992/621
Q4972284,national-park:Q4972284,OT216,,
Q5225646,national-park:Q5225646,OT217,,
Q72617784,national-park:Q72617784,OT219,,
Q27159704,national-park:Q27159704,OT220,,
Q72617158,national-park:Q72617158,OT222,,
Q72617669,national-park:Q72617669,OT223,,
Q72617890,national-park:Q72617890,OT543,,
Q72617988,national-park:Q72617988,OT545,,
Q72618127,national-park:Q72618127,OT546,,
Q27178932,national-park:Q27178932,OT547,,
